"L..iners","L..crispatus","L..gasseri","L..jensenii","Prevotella","Megasphaera","Sneathia","Atopobium","Streptococcus","Dialister","Lachnospiraceae_8","Anaerococcus","Peptoniphilus","Eggerthella","Finegoldia","Proteobacteria_12","Ruminococcaceae_3","Ureaplasma","Mycoplasmataceae_1","Aerococcus","Parvimonas","Staphylococcus","Corynebacterium","Veillonella","L..vaginalis","Gardnerella","Bacteroides","Prevotellaceae_2","Peptostreptococcus","Mobiluncus","Pasteurella","Porphyromonas","Lactobacillus_1","Clostridiales_17","Klebsiella","Lactobacillales_2","Gemella","Ruminococcaceae_4","Lactobacillales_5","Ruminococcaceae_Incertae_Sedis","Lactobacillales_6","Campylobacter","Fusobacterium","Lactobacillus_4","Lachnospiraceae_Incertae_Sedis","Lachnospiraceae_7","Actinomyces","Moryella","Bacteroidetes_8","Anaeroglobus","Propionibacterium","Bifidobacterium","Lachnospiraceae_4","Varibaculum","Prevotellaceae_1","Lactobacillus_2","Exiguobacterium","Proteobacteria_1","Bacteroidales_1","Enterobacter","Facklamia","Segniliparus","Rothia","Proteobacteria_2","Peptococcus","Enterococcus","Arcanobacterium","Dethiosulfovibrio","Brevibacterium","Lactobacillales_7","Lactobacillales_1","Flavobacteriaceae_4","Lactobacillus_3","Enterobacteriaceae_1","Coriobacteriaceae_2","Bulleidia","Clostridium","Lachnospiraceae_9","Arthrobacter","Sutterella","Neisseria","Coriobacteriaceae_1","Citrobacter","Dorea","Lactococcus","Lachnospiraceae_6","Granulicatella","Clostridiales_1","Alistipes","Bacteroidetes_12","Bacteria_4","Actinobaculum","Enterobacteriaceae_5","Clostridiales_15","Oerskovia","Bacteroidetes_5","Lachnospiraceae_2","Lachnospiraceae_1","Ruminococcus","Scardovia","Anaerovorax","Propionimicrobium","Fastidiosipila","Stenotrophomonas","Megamonas","Enterobacteriaceae_8","Pseudomonas","Roseburia","Gallicola","Haemophilus","Bacteroidetes_1","Parabacteroides","Acidovorax","Kocuria","Helcococcus","Acinetobacter","Clostridiales_6","Serratia","Coprobacillus","Burkholderiales_2","Atopobacter","Subdoligranulum","Coriobacteriaceae_3","Clostridiales_11","Bacteroidales_2","Bacteroidetes_7","Clostridiales_4","Sphingomonas","TM7_genera_incertae_sedis","Collinsella","Erysipelotrichaceae_Incertae_Sedis","Bacillus_j","Coprococcus","Skermanella","Ruminococcaceae_2","GpI","Neisseriaceae_1","Bacteroidetes_3","Lachnospiraceae_5","Peptostreptococcaceae_Incertae_Sedis","Capnocytophaga","Betaproteobacteria_3","Bacteria_17","Clostridiales_16","Dermabacter","Bacteria_22","Slackia","Bacteria_19","Micrococcus","Clostridiales_8","Enterobacteriaceae_7","Bacteria_5","Clostridiales_2","Bacteria_15","Ruminococcaceae_1","Paenibacillus","Flavobacterium","Flexibacteraceae_2","Bacteria_12","Janthinobacterium","Succinispira","Salmonella","Ruminococcaceae_6","Bacteria_23","Firmicutes_3","Enterobacteriaceae_2","Incertae_sedis_5_2","GpIX","Proteobacteria_9","Bacteria_6","Proteobacteria_13","Bacteroidetes_11","Lachnospiraceae_3","Fusobacteriaceae_1","Duganella","Bacteroidetes_4","Luteococcus","Firmicutes_2","Catenibacterium","SR1_genera_incertae_sedis","Crenotrichaceae_1","Dermabacteraceae_1","Pantoea","Proteobacteria_11","Acidaminococcus","Veillonellaceae_1","Flexibacteraceae_4","Enhydrobacter","Firmicutes_4","Clostridia_2","Methylobacterium","Bacilli_4","Bacteria_8","Enterococcaceae_1","Firmicutes_5","Chryseobacterium","Aquabacterium","Jeotgalicoccus","Conchiformibius","Proteobacteria_14","Bacteria_11","Bacteroidetes_9","Rhodococcus","Flexibacteraceae_3","Ruminococcaceae_5","Actinobacillus","Zimmermannella","Proteobacteria_15","Incertae_sedis_5_1","Clostridiales_5","OD1_genera_incertae_sedis","Firmicutes_1","Bilophila","Clostridiales_9","Clostridiales_7","Leptotrichia","Bradyrhizobium","Flexibacteraceae_5","Rhizobium","Proteobacteria_3","Ruminococcaceae_8","Rhodoferax","Methylovorus","Janibacter","Corynebacterineae_1","Riemerella","Turicella","Pseudomonadaceae_1","Gp8","Clostridiales_10","Novosphingobium","Flexibacteraceae_1","Microbacteriaceae_1","Bacillales_5","Selenomonas","Roseomonas","Polaromonas","Patulibacter","Gordonia","Flectobacillus","Dermacoccus","Bacillus_c","Clostridiales_18","Proteobacteria_16","Simplicispira","Bacilli_2","Microbacterium"
"S001",0.084,0.908,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.003,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S002",0.001,0,0.885,0.101,0.001,0.001,0,0.001,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S003",0.742,0.001,0.001,0.246,0.001,0,0,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S004",0,0.987,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S005",0.049,0.001,0.001,0,0.308,0.236,0.177,0.049,0,0.089,0,0,0.004,0.001,0,0,0,0,0.002,0.03,0.028,0,0,0,0,0.005,0,0.001,0,0,0,0,0,0,0,0,0.002,0.004,0,0,0,0,0,0,0,0,0,0.002,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S006",0.116,0.832,0,0.025,0.004,0,0,0,0,0.002,0,0.005,0.001,0,0.001,0,0,0.003,0,0,0,0,0,0,0.007,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S007",0.161,0.003,0.588,0.001,0.069,0.002,0.018,0.006,0.071,0.001,0,0.006,0.003,0,0.009,0,0,0.004,0.002,0,0.002,0.001,0,0.023,0.002,0.001,0,0.001,0.008,0,0.001,0,0.013,0,0,0,0.001,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S008",0.063,0.001,0,0,0.404,0.055,0.146,0.029,0.002,0.103,0,0.007,0.027,0.004,0.001,0,0.001,0.002,0.004,0,0.041,0,0,0.002,0,0.001,0,0.001,0.015,0.013,0,0.009,0,0.022,0,0,0.004,0.004,0.001,0.002,0,0,0.001,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S009",0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S010",0.505,0.462,0.001,0.012,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.003,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
